location,elapsed,29Hz,58Hz,116Hz,120Hz,174Hz,232Hz,240Hz,peak1_freq,peak1_level,peak2_freq,peak2_level,peak3_freq,peak3_level,peak4_freq,peak4_level,peak5_freq,peak5_level
elec room,1.1920928955078125e-06,4.389214018549968,38.42246902257628,5.857517887024128,120.01856453658515,1.8662224318805787,2.3224838045870393,149.71463752387595,240.234375,149.71463752387595,120.1171875,120.01856453658515,58.59375,38.42246902257628,38.0859375,22.568850113339806,95.21484375,21.180635205356115
elec room,1.0063543319702148,4.208650915823836,35.567815471738044,4.334738316743441,120.32681326364752,3.0266902063513563,2.5285611904435976,150.796733836987,240.234375,150.796733836987,120.1171875,120.32681326364752,58.59375,35.567815471738044,104.00390625,27.269405139851756,98.14453125,16.36203059352077
elec room,2.010956048965454,4.743829560322642,40.17716440414853,10.296314054901657,127.30891838238843,1.7478562168771519,3.3381006002092692,121.2454938555812,120.1171875,127.30891838238843,240.234375,121.2454938555812,58.59375,40.17716440414853,38.0859375,27.32120199361902,360.3515625,21.25478528507639
elec room,3.007500171661377,1.7308325766534658,30.384242145998172,5.850208462720199,125.32893535414489,2.971726570349511,0.7342580854464091,91.52723276403158,120.1171875,125.32893535414489,240.234375,91.52723276403158,58.59375,30.384242145998172,102.5390625,22.585728917726627,360.3515625,21.70585596708231
elec room,4.010778188705444,5.4776066849318585,49.17310456205772,8.508882117096254,128.3050180666999,2.4221097640754543,1.0259543607288715,94.77083122530891,120.1171875,128.3050180666999,240.234375,94.77083122530891,58.59375,49.17310456205772,38.0859375,36.38925369844471,360.3515625,22.24980047966125
elec room,5.017314195632935,5.53975705877531,28.95585868309649,4.3649964706384115,124.52277674647792,2.5451703819888856,3.011649993297482,89.38208478928068,120.1171875,124.52277674647792,240.234375,89.38208478928068,58.59375,28.95585868309649,39.55078125,26.66642241917326,102.5390625,20.60862121369443
elec room,6.002636194229126,8.144895818747512,50.63849564737847,8.98097691893583,128.71693560709573,4.433680597935225,1.9436779449567987,92.8646278278765,120.1171875,128.71693560709573,240.234375,92.8646278278765,58.59375,50.63849564737847,38.0859375,41.04606217370489,102.5390625,20.388760708291066
elec room,7.007613182067871,6.8279871128009795,26.553567981360437,9.14551251802559,133.36771853066003,4.791827413348717,1.7610377831910027,96.3471587158429,120.1171875,133.36771853066003,240.234375,96.3471587158429,58.59375,26.553567981360437,38.0859375,24.180146746844002,360.3515625,15.941904335246802
elec room,8.00759220123291,7.908126576465253,19.435010035117777,5.473136940908209,143.26210924227382,3.8390760095118623,2.023962664352882,102.64990716314288,120.1171875,143.26210924227382,240.234375,102.64990716314288,38.0859375,21.117643030033644,58.59375,19.435010035117777,360.3515625,18.527391723772553
elec room,9.008962154388428,3.333934519887699,30.47714212676751,7.215419010900309,135.39184078969072,3.3007306153115414,3.8180845633619493,108.74273854712908,120.1171875,135.39184078969072,240.234375,108.74273854712908,58.59375,30.47714212676751,38.0859375,23.75098987339179,360.3515625,18.41998657152633
elec room,10.017911195755005,3.7735375396025392,21.591519400382886,12.746829819774447,161.00864253248722,2.593540798809046,1.406994185253643,102.07899771906527,120.1171875,161.00864253248722,240.234375,102.07899771906527,102.5390625,24.74458174204675,57.12890625,21.591519400382886,360.3515625,20.72057571588648
elec room,11.009040117263794,3.9644849516728313,27.82892125700022,7.008979421350935,134.69031107489704,2.872178130463688,1.242230582973239,104.37830540630605,120.1171875,134.69031107489704,240.234375,104.37830540630605,58.59375,27.82892125700022,360.3515625,24.0420172491947,102.5390625,22.503491569838367
elec room,12.002366304397583,7.1129569077654855,24.048270361743608,14.78004069144703,130.00296143956675,2.350047900027276,1.6188744856645658,165.14621837746463,240.234375,165.14621837746463,120.1171875,130.00296143956675,360.3515625,33.489529969472535,102.5390625,24.15227494665958,57.12890625,24.048270361743608
elec room,13.011153221130371,5.0605081555521325,34.366876293803315,9.340989294428255,118.49681518921332,4.284848567057815,1.1613294455268697,219.72051313391984,240.234375,219.72051313391984,120.1171875,118.49681518921332,360.3515625,36.475100355046045,38.0859375,34.39954836628613,58.59375,34.366876293803315
elec room,14.016142129898071,2.856180616712968,38.618484496913105,1.9773998113023545,113.53879846913239,3.6311062058722294,2.93911050800944,162.55686366238245,240.234375,162.55686366238245,120.1171875,113.53879846913239,58.59375,38.618484496913105,360.3515625,35.6408230818947,39.55078125,26.47113669457784
elec room,15.019394159317017,1.5039735520339004,34.2372129071408,5.97275248848074,108.92965995138803,2.8058710242964353,2.5190835627223267,111.87813303657141,240.234375,111.87813303657141,120.1171875,108.92965995138803,57.12890625,34.2372129071408,360.3515625,30.93527885866893,39.55078125,24.376955884331377
elec room,16.014702081680298,2.753229820168041,25.35911311799541,6.916348391985059,115.55860776673782,5.118488975032349,2.2274519960263923,113.74744569111027,120.1171875,115.55860776673782,240.234375,113.74744569111027,360.3515625,27.778451794535478,38.0859375,26.675556508609503,58.59375,25.35911311799541
elec room,17.014389991760254,2.342776594317984,40.66245463424246,7.388808651778823,112.93968927252925,5.771745623695201,1.4607328148454626,108.1525211897648,120.1171875,112.93968927252925,240.234375,108.1525211897648,58.59375,40.66245463424246,360.3515625,24.369855566446883,38.0859375,22.891068749505
